,SSA,PS,C,H,O,N,ASH,pHBC,EC,BCA,SM,T,TS,VS,pHAD,DT,MY,Rmax
26,1.92,0.15,16.86,1.62,26.63,2.27,56.3,9.5,2.910912054,26.1,19.9596,35,11.6,56.9,6.75,34,168,13.71
27,1.92,0.15,16.86,1.62,26.63,2.27,56.3,9.5,2.900902854,34.2,19.9596,35,11.6,56.9,6.75,34,125,11.92
28,160.66,1,37.36,3.55,58.49,0.6,1.6,8.7,12.13677513,3,2.124,35,23.46,90.53,6.2,11,27.8,7.045
29,169.71,1,37.36,3.55,58.49,0.6,1.6,8.7,13.36639344,6,2.124,35,23.46,90.53,6.2,11,40.3,7.825
30,246.11,1,37.36,3.55,58.49,0.6,1.6,8.7,13.36959313,12,2.124,35,23.46,90.53,6.2,11,30.5,7.045
31,261.15,1,37.36,3.55,58.49,0.6,1.6,8.7,13.92834199,25,2.124,35,23.46,90.53,6.2,11,110.3,21.915
32,264.31,1,37.36,3.55,58.49,0.6,1.6,8.7,13.96659782,50,2.124,35,23.46,90.53,6.2,11,126.7,28.825
33,248.6,0.625,74.5,4.8,12.2,0.4,7.8,9.2,14.8956078,2,0.31638,35,8.8,89.88,7.2,37.5,362.223,27.49857766
34,248.6,0.625,74.5,4.8,12.2,0.4,7.8,9.2,14.89456581,6,0.31638,35,8.8,89.88,7.2,37.5,367.28,29.7111069
35,248.6,0.625,74.5,4.8,12.2,0.4,7.8,9.2,14.88663966,10,0.31638,35,8.8,89.88,7.2,37.5,354.321,25.91819963
36,248.6,0.625,74.5,4.8,12.2,0.4,7.8,9.2,15.24784004,15,0.31638,35,8.8,89.88,7.2,37.5,346.103,24.65389721
37,221,0.675,65.7,2.7,19.3,0.6,11.7,9.9,7.582960186,30,2,37,100,100,7.9,28,285.46,28.08
38,237,0.675,76.5,1.4,7,0.8,14.3,9.3,10.43730086,30,2,37,100,100,7.8,28,251.63,13.06
39,39,0.675,26.1,1.2,54.7,1.4,23.4,9.1,10.33313574,30,2,37,100,100,7.7,28,294.15,27.31
40,90,0.675,38.7,0.8,21,2.2,37.3,10.6,11.72210167,30,2,37,100,100,7.8,28,266.03,12.32
41,72,0.675,39.2,1.8,21.6,2.4,33.3,11.1,6.976981197,30,2,37,100,100,9.8,28,38.25,4.88
